n_high,n_low,max_hold,stop_atr_mult,avg_sharpe,avg_return,avg_drawdown,avg_win_rate,total_trades,positive_ratio,tested_symbols,score
3,5,10,1.5,-0.0161811350781497,0.0016824116055748682,0.31587185122654743,0.435758815294544,3095,0.543859649122807,57,0.8113924042435331
3,5,10,2.0,-0.02080789337528315,0.0016764828328373917,0.3187039513703403,0.44291391747612974,3056,0.5263157894736842,57,0.8003375135743057
3,5,10,2.5,-0.0074956883303130386,0.0016243021552511095,0.3232449384492252,0.4452331809996642,3046,0.5087719298245614,57,0.7960553052181014
3,3,10,2.5,-0.09769191605607955,0.0012249138689666111,0.32848361896480693,0.3977951475739271,3218,0.5964912280701754,57,0.7160339584309251
3,3,10,2.0,-0.11113766863737262,0.0011964441060792967,0.32907500707150616,0.39642356092016756,3221,0.5614035087719298,57,0.6888242591152753
5,5,10,1.5,-0.10218166172037103,0.0010637872994092397,0.3049167026568657,0.4341247867317324,2594,0.5614035087719298,57,0.6781519966579703
7,5,10,1.5,-0.15503051021593825,0.0013113968184223484,0.2601048748626369,0.4304331701512243,2235,0.5614035087719298,57,0.6724817801719445
3,3,10,1.5,-0.11313382108219813,0.0011554837185430667,0.3318076196173747,0.3939083551369183,3238,0.5263157894736842,57,0.6681215862614158
3,5,5,2.5,-0.1981257389026809,0.0014467136293816515,0.28060291285177774,0.47886053839877024,3990,0.5789473684210527,57,0.6663337690472521
7,5,10,2.5,-0.16642264251238648,0.0011834489817161397,0.29619869581317554,0.44249511309196726,2217,0.5614035087719298,57,0.6480020067327393
3,5,5,1.5,-0.155365595982636,0.0013754908820584626,0.2767088693666301,0.47556512398272627,4001,0.47368421052631576,57,0.6453778122424398
7,5,10,2.0,-0.1607760234252881,0.0010840593735995964,0.29655793812058556,0.44147608900497093,2220,0.5614035087719298,57,0.6392529230091967
5,5,5,1.5,-0.12343700398807823,0.0009316675528470103,0.26532779818527524,0.46827256666112815,3269,0.5263157894736842,57,0.6321164323382975
3,5,5,2.0,-0.2243480143829034,0.0014352634088992202,0.28043439745080756,0.47771923076172573,3993,0.5263157894736842,57,0.625240615362401
5,5,5,2.5,-0.12976985699099464,0.0008375659603809062,0.27267887058333856,0.47271387922249075,3266,0.5087719298245614,57,0.6085436497748116
7,5,5,2.5,-0.1889223314751374,0.0010168616178369645,0.24303332966733215,0.4607316479412027,2775,0.543859649122807,57,0.6036816656024027
7,5,5,1.5,-0.16746805683599073,0.001032157526210249,0.2407678990220509,0.45505112831662575,2778,0.49122807017543857,57,0.5997859034872304
3,5,7,2.0,-0.1337164513083531,0.000698727964426021,0.3362787675764368,0.4654998028219733,3511,0.5263157894736842,57,0.5949578661674908
5,5,7,2.0,-0.19523223074362822,0.0009671829715115586,0.31024550814351265,0.4614370760920581,2935,0.543859649122807,57,0.592840627531249
5,5,7,2.5,-0.1840882562468843,0.0009550952922950455,0.3110952931103526,0.4618103497016139,2935,0.5263157894736842,57,0.5921653357681714
5,3,5,1.5,-0.14001763845428603,0.0008670313548477261,0.26434398507897133,0.45015363922866614,3279,0.47368421052631576,57,0.5910300022340237
3,3,5,2.5,-0.237779750569361,0.0014068274265262616,0.27600647476366663,0.4607125007817819,4018,0.47368421052631576,57,0.5910276321420876
3,3,5,2.0,-0.23191797120547145,0.0013696940123901456,0.2770276759071884,0.45992979893433794,4020,0.47368421052631576,57,0.5904162741742418
3,5,7,2.5,-0.13690679026494124,0.0006751066770474043,0.3372538232962664,0.46665255463158706,3507,0.5263157894736842,57,0.5896685150534702
5,5,5,2.0,-0.15646934295624695,0.0008023151531345006,0.27259782329641763,0.47166974699321434,3267,0.5087719298245614,57,0.5851123439632674
7,5,7,2.5,-0.2429187789709765,0.0012643777039205014,0.26569192850471945,0.45031763923556817,2518,0.5087719298245614,57,0.58315159348097
7,5,5,2.0,-0.20805716062569382,0.0010149655273153024,0.2453146464487236,0.45949560328410544,2776,0.5087719298245614,57,0.5758511870224987
3,3,5,1.5,-0.2525610635605142,0.0013570661892887135,0.27128162639067743,0.45791959194609755,4027,0.47368421052631576,57,0.5741761462454942
7,5,7,2.0,-0.2653319994059642,0.0012608980610940678,0.26802958881095,0.4498677966804624,2518,0.5263157894736842,57,0.5738487197789801
3,5,7,1.5,-0.17270821555995672,0.0008371212715360898,0.3284874457764566,0.4615642407044357,3533,0.49122807017543857,57,0.5710580994375327
7,5,7,1.5,-0.2532092237614463,0.0012294016928761284,0.2546841157835754,0.44302488205276935,2522,0.49122807017543857,57,0.5643596466536267
5,3,5,2.5,-0.17249936755889198,0.0008213718234577128,0.2651786216768662,0.45372523085720284,3276,0.47368421052631576,57,0.5621683563700266
5,5,7,1.5,-0.2145429265985736,0.0010383896432334266,0.29785703775134637,0.45559701384187035,2942,0.47368421052631576,57,0.56022708676996
5,3,10,2.5,-0.12121647546310914,0.00036755736204712315,0.3541235524380648,0.39738297246789517,2684,0.5087719298245614,57,0.5543155392698812
5,3,10,2.0,-0.12783870165174968,0.0003534993023045956,0.35496054390726267,0.3964329965179192,2685,0.5087719298245614,57,0.5478221987879318
5,5,10,2.5,-0.16508607221618168,0.0005484857325865912,0.3416189083625859,0.44485546206090426,2571,0.5087719298245614,57,0.546451942488414
5,5,10,2.0,-0.19917928820936237,0.0006230729373255707,0.3390636035755189,0.443861615452507,2574,0.543859649122807,57,0.5459075944988753
5,3,5,2.0,-0.18056302021955736,0.0007821132083921467,0.26560461614647396,0.4529429472794059,3277,0.45614035087719296,57,0.5444042170867106
5,3,10,1.5,-0.18574811683052922,0.0006039391026678816,0.3261532019285976,0.39031790792683363,2694,0.49122807017543857,57,0.5319133349804188
10,5,7,2.0,-0.1127527134634655,0.00033321168529334055,0.2734009378043392,0.45133933624107925,2122,0.43859649122807015,57,0.5278344238327514
10,5,7,2.5,-0.11926751460489338,0.0003600786235350905,0.2670123178294602,0.4518553321131123,2122,0.43859649122807015,57,0.5266664435069154
7,3,5,2.5,-0.25032278753162357,0.0009162104499882787,0.2515090592226905,0.4422712950728301,2786,0.47368421052631576,57,0.5192146946823937
7,3,5,1.5,-0.26465748324309635,0.0009748768658894854,0.24677752093866095,0.4382688409761676,2789,0.45614035087719296,57,0.5095695375319724
10,5,5,2.5,-0.17892927536550152,0.0003847006920690893,0.24282529208993522,0.4551611822734743,2344,0.49122807017543857,57,0.5086219745525702
10,5,5,2.0,-0.18496611921981576,0.00041256359089651093,0.24573481199862215,0.45379066166356063,2345,0.47368421052631576,57,0.5009027098903162
7,3,5,2.0,-0.2624296882085635,0.0009337426159628554,0.2514052391483179,0.44136013670553137,2787,0.43859649122807015,57,0.4988537065138319
3,3,7,1.5,-0.20229759772177472,0.0006525260276402272,0.3111312715251363,0.42570077618432794,3609,0.40350877192982454,57,0.4913365334625227
10,5,5,1.5,-0.1753296241993793,0.00028145736417181937,0.24975600879942153,0.448957081912237,2346,0.47368421052631576,57,0.4909112875036987
7,3,7,2.0,-0.2949984307899158,0.0009713304812358333,0.26710951149758655,0.41137161969516073,2553,0.42105263157894735,57,0.47359068178852776
7,3,7,2.5,-0.29728646212071813,0.0009773650654165834,0.2663555255674852,0.41182146225026645,2553,0.42105263157894735,57,0.4727442208547096
10,5,7,1.5,-0.16554517208845157,3.7376742763307934e-05,0.29194451234644,0.44312269151771966,2126,0.45614035087719296,57,0.45951636288907505
7,3,7,1.5,-0.36137443267079944,0.0010312850626431266,0.2565845421014946,0.40808269035741374,2556,0.42105263157894735,57,0.4342701916523266
10,3,5,2.5,-0.2556849085284143,0.00022164117741670176,0.25374189399853475,0.4373463163363249,2356,0.49122807017543857,57,0.43334506423757857
3,3,7,2.5,-0.262354855141732,0.000580746422339802,0.3143097169328012,0.42704806220046976,3596,0.38596491228070173,57,0.43257674407835395
5,3,7,1.5,-0.3380733067071993,0.0008612644701149258,0.2837542131806802,0.4197638239243301,2985,0.42105263157894735,57,0.4289653231837458
3,3,7,2.0,-0.2649291707700117,0.000557124771368813,0.31478212454063714,0.42653818231350166,3599,0.38596491228070173,57,0.42772364306629385
10,5,10,1.5,-0.19217184100556234,-0.0002436537470297012,0.33546309599553337,0.4169578646922235,1915,0.5087719298245614,57,0.4256641390932888
10,3,5,2.0,-0.25953063601189547,0.00023541697998207356,0.2537329843224626,0.436357183979653,2357,0.47368421052631576,57,0.4253707590480521
5,3,7,2.0,-0.34904361591078176,0.0007740281586017631,0.2933706267122791,0.42292092936171183,2980,0.42105263157894735,57,0.41000620015256684
7,3,10,1.5,-0.43107666470583644,0.000855906121992181,0.31225194819138996,0.3789782627805328,2314,0.5263157894736842,57,0.40451393466748276
5,3,7,2.5,-0.34819809826137654,0.0007786885906504492,0.29295624942869886,0.42329420297126763,2980,0.40350877192982454,57,0.40418526565897683
7,3,10,2.5,-0.4101774686650151,0.0007250310805816348,0.32862641876384746,0.38668381723289985,2305,0.5263157894736842,57,0.4025289408284949
10,3,5,1.5,-0.2903671960811418,0.00022129754399887835,0.24932675857853717,0.43314189484208915,2358,0.45614035087719296,57,0.3947022703831935
7,3,10,2.0,-0.4267745337887777,0.0006934078924730004,0.33175966236618054,0.3855420484686566,2307,0.5087719298245614,57,0.37970040085256074
10,3,7,2.5,-0.25569180109747,-7.631626704275657e-05,0.2949517151360308,0.41034724925266913,2156,0.43859649122807015,57,0.3740698078002941
10,3,7,2.0,-0.2548527528724211,-8.263514381190746e-05,0.29580189553027575,0.40983125338063614,2156,0.43859649122807015,57,0.3738535656355373
10,5,10,2.5,-0.26027332045167917,-0.00025211062292138103,0.33376202136791966,0.4303355487269857,1900,0.45614035087719296,57,0.355294104142374
10,3,7,1.5,-0.2835543941314458,-0.00025099183334178576,0.30527857219144483,0.4070547944065198,2157,0.45614035087719296,57,0.33894885354014126
10,5,10,2.0,-0.27522072225151306,-0.00038531818340865106,0.3411263938238556,0.42954699196923757,1901,0.45614035087719296,57,0.3276216788134354
10,3,10,1.5,-0.28244832516026275,-0.0004785343594678659,0.3490783938504093,0.37238706256151066,1970,0.49122807017543857,57,0.32458139242273615
10,3,10,2.5,-0.32220394916033945,-0.0006468672996591272,0.3561484372335286,0.38037839631519493,1963,0.45614035087719296,57,0.2607981437091002
10,3,10,2.0,-0.3262123931913828,-0.0006564818505417743,0.357642613506721,0.3796181811987592,1964,0.45614035087719296,57,0.2567259569892407
